Timestamp,Latitude,Longitude,Altitude_m,Speed_kmh,Satellites,HDOP,Heading_deg
2025-10-25 18:40:56,54.522761,18.514053,53.1,0.07,09,1.09,0.0
2025-10-25 18:41:01,54.522761,18.514053,53.0,0.03,09,1.05,343.8
2025-10-25 18:41:06,54.522761,18.514052,52.9,0.06,09,1.05,270.0
2025-10-25 18:41:11,54.522762,18.514053,52.9,0.03,09,1.05,41.0
2025-10-25 18:41:16,54.522763,18.514054,53.2,0.03,09,1.05,30.1
2025-10-25 18:41:21,54.522765,18.514056,53.7,0.01,09,1.05,27.6
2025-10-25 18:41:26,54.522766,18.514057,54.2,0.02,09,1.14,30.1
2025-10-25 18:41:32,54.522775,18.514066,56.5,0.01,10,1.05,28.3
2025-10-25 18:41:37,54.522777,18.514068,57.1,0.03,10,1.05,32.2
2025-10-25 18:41:42,54.522779,18.514070,57.5,0.01,10,1.05,35.4
2025-10-25 18:41:47,54.522780,18.514071,57.9,0.01,10,1.05,34.1
2025-10-25 18:41:52,54.522781,18.514072,58.1,0.00,10,1.05,24.9
2025-10-25 18:41:57,54.522782,18.514073,58.4,0.01,10,1.05,26.4
2025-10-25 18:42:02,54.522783,18.514074,58.9,0.03,10,1.02,34.1
2025-10-25 18:42:07,54.522784,18.514076,59.6,0.05,09,1.05,32.6
2025-10-25 18:42:12,54.522796,18.514087,62.1,0.05,09,1.05,28.3
2025-10-25 18:42:17,54.522796,18.514087,61.8,0.03,09,1.05,30.1
2025-10-25 18:42:22,54.522796,18.514087,61.4,0.01,09,1.05,30.1
2025-10-25 18:42:27,54.522797,18.514087,61.0,0.08,09,1.05,30.1
2025-10-25 18:42:32,54.522797,18.514087,60.6,0.06,09,1.05,30.1
2025-10-25 18:42:37,54.522797,18.514087,60.2,0.06,09,1.05,90.0
2025-10-25 18:42:42,54.522798,18.514088,60.0,0.06,09,1.05,16.2
2025-10-25 18:42:47,54.522800,18.514097,59.6,0.04,09,1.22,66.7
2025-10-25 18:42:52,54.522800,18.514097,59.5,0.06,10,1.13,90.0
2025-10-25 18:42:57,54.522800,18.514097,59.6,0.01,10,1.13,30.1
2025-10-25 18:43:02,54.522801,18.514098,59.6,0.04,09,1.10,30.1
2025-10-25 18:43:07,54.522801,18.514098,59.5,0.07,09,1.10,21.2
2025-10-25 18:43:12,54.522802,18.514098,59.6,0.07,09,1.10,0.0
2025-10-25 18:43:17,54.522802,18.514098,59.7,0.04,09,1.10,270.0
2025-10-25 18:43:22,54.522780,18.514080,61.0,0.01,10,1.06,205.5
2025-10-25 18:43:27,54.522778,18.514078,60.9,0.04,10,1.06,208.2
2025-10-25 18:43:32,54.522776,18.514076,60.7,0.01,10,1.06,210.1
2025-10-25 18:43:37,54.522775,18.514076,60.6,0.01,10,1.06,196.2
2025-10-25 18:43:42,54.522775,18.514076,60.6,0.06,09,1.40,229.3
2025-10-25 18:43:47,54.522775,18.514076,60.7,0.05,09,1.40,30.1
2025-10-25 18:43:52,54.522776,18.514076,61.0,0.04,09,1.39,23.5
2025-10-25 18:43:57,54.522782,18.514081,61.0,0.03,10,1.02,25.5
2025-10-25 18:44:02,54.522782,18.514081,61.0,0.04,10,1.02,210.1
2025-10-25 18:44:07,54.522782,18.514081,60.9,0.01,10,1.02,229.3
2025-10-25 18:44:12,54.522781,18.514080,60.9,0.03,10,1.02,204.9
2025-10-25 18:44:17,54.522781,18.514079,60.7,0.03,10,1.02,210.1
2025-10-25 18:44:22,54.522780,18.514079,60.6,0.05,10,1.02,201.2
2025-10-25 18:44:27,54.522780,18.514078,60.5,0.06,09,1.06,229.3
2025-10-25 18:44:33,54.522770,18.514060,58.4,0.02,10,1.13,228.0
2025-10-25 18:44:38,54.522770,18.514058,58.6,0.02,10,1.13,252.6
2025-10-25 18:44:43,54.522771,18.514059,58.5,0.29,09,1.23,24.3
2025-10-25 18:44:48,54.522771,18.514059,58.3,0.03,09,1.23,343.8
2025-10-25 18:44:53,54.522771,18.514058,58.1,0.23,09,1.06,217.7
2025-10-25 18:44:58,54.522769,18.514057,57.9,0.03,09,1.06,202.5
2025-10-25 18:45:03,54.522770,18.514058,57.7,0.15,09,1.06,63.8
2025-10-25 18:45:09,54.522780,18.514075,57.1,0.03,09,1.11,44.0
2025-10-25 18:45:14,54.522779,18.514073,57.3,0.04,09,1.11,215.4
2025-10-25 18:45:19,54.522777,18.514072,57.6,0.12,09,1.11,210.1
2025-10-25 18:45:24,54.522775,18.514070,57.8,0.03,09,1.07,210.1
2025-10-25 18:45:29,54.522773,18.514068,58.1,0.04,09,1.07,201.2
2025-10-25 18:45:34,54.522771,18.514067,58.4,0.03,09,1.07,201.9
2025-10-25 18:45:39,54.522769,18.514065,58.6,0.01,09,1.07,207.6
2025-10-25 18:45:45,54.522768,18.514061,61.4,0.02,09,1.07,262.7
2025-10-25 18:45:50,54.522770,18.514062,61.3,0.06,10,1.07,23.5
2025-10-25 18:45:55,54.522771,18.514063,61.1,0.01,10,1.03,34.9
2025-10-25 18:46:00,54.522771,18.514063,60.8,0.04,10,1.03,149.9
2025-10-25 18:46:05,54.522771,18.514063,60.6,0.03,10,1.03,90.0
2025-10-25 18:46:10,54.522771,18.514063,60.3,0.04,10,1.03,90.0
2025-10-25 18:46:15,54.522771,18.514065,60.2,0.05,10,1.03,57.1
2025-10-25 18:46:20,54.522772,18.514067,60.1,0.02,10,1.03,49.3
2025-10-25 18:46:25,54.522764,18.514074,58.6,0.04,10,1.03,150.9
2025-10-25 18:46:30,54.522764,18.514076,58.8,0.07,10,1.03,126.4
