Timestamp,Latitude,Longitude,Altitude_m,Speed_kmh,Satellites,HDOP,VDOP,PDOP,Heading_deg
2025-10-25 18:46:41,54.522757,18.514076,58.1,0.08,10,1.03,0,0,0.0
2025-10-25 18:46:46,54.522756,18.514076,57.8,0.01,10,1.03,1.61,1.91,224.0
2025-10-25 18:46:51,54.522756,18.514075,57.4,0.03,10,1.03,1.61,1.91,270.0
2025-10-25 18:46:56,54.522757,18.514075,57.0,0.02,10,1.03,1.61,1.91,343.8
2025-10-25 18:47:01,54.522757,18.514074,56.7,0.07,10,1.03,1.61,1.91,349.1
2025-10-25 18:47:06,54.522757,18.514074,56.3,0.04,09,1.07,1.63,1.95,270.0
2025-10-25 18:47:11,54.522757,18.514074,55.9,0.01,09,1.07,1.63,1.95,310.7
2025-10-25 18:47:16,54.522757,18.514073,55.5,0.04,10,1.03,1.63,1.95,229.3
2025-10-25 18:47:21,54.522759,18.514076,54.4,0.05,09,1.13,1.63,1.95,36.0
2025-10-25 18:47:26,54.522758,18.514075,54.4,0.01,09,1.13,1.7,2.04,210.1
2025-10-25 18:47:31,54.522759,18.514075,54.4,0.06,09,1.21,1.7,2.09,329.9
2025-10-25 18:47:36,54.522759,18.514076,54.5,0.03,09,1.21,1.7,2.09,30.1
2025-10-25 18:47:41,54.522760,18.514077,54.7,0.03,09,1.21,1.7,2.09,41.0
